ID;Nazwa Atrakcji;Cena;Opis;Kategoria;Miasto
468;Lynn Canyon Park;0;Park z malowniczym mostem wiszącym.;Rekreacja;Vancouver
469;Queen Elizabeth Park;0;Urokliwy park z ogrodami i widokiem na miasto.;Rekreacja;Vancouver
470;Robson Street;0;Główna ulica handlowa z butikami i kawiarniami.;Zakupy;Vancouver
471;Vancouver Lookout;90;Wieża widokowa z panoramą miasta.;Zwiedzanie;Vancouver
472;VanDusen Botanical Garden;60;Piękny ogród botaniczny z kolekcją egzotycznych roślin.;Rekreacja;Vancouver
473;Museum of Anthropology;70;Muzeum prezentujące rdzenną sztukę i kulturę ludów Północno-Zachodniego Pacyfiku.;Zwiedzanie;Vancouver
474;Seawall Walk;0;Popularna trasa spacerowa wzdłuż wybrzeża.;Rekreacja;Vancouver
475;Richmond Night Market;0;Tętniący życiem nocny targ z lokalnymi specjałami.;Kultura;Vancouver
476;Kitsilano Beach;0;Plaża o czystym piasku i wspaniałych zachodach słońca.;Plażowanie;Vancouver
477;FlyOver Canada;110;Symulator lotu nad krajobrazami Kanady.;Rozrywka;Vancouver
478;Old Montreal;0;Historyczna dzielnica Montreal z brukowanymi uliczkami.;Zwiedzanie;Montreal
479;Notre-Dame Basilica;40;Imponująca bazylika w secesyjnym stylu.;Zwiedzanie;Montreal
480;Mount Royal Park;0;Park z widokiem na centrum miasta i przyrodą.;Rekreacja;Montreal
481;Montreal Museum of Fine Arts;60;Bogata kolekcja sztuki klasycznej i nowoczesnej.;Zwiedzanie;Montreal
482;Jean-Talon Market;0;Targ z lokalnymi produktami i przysmakami.;Kulinaria;Montreal
483;St. Joseph's Oratory;30;Imponujący kompleks sakralny na wzgórzu.;Zwiedzanie;Montreal
484;Montreal Botanical Garden;70;Ogromny ogród z setkami gatunków roślin.;Zwiedzanie;Montreal
485;Biodome;80;Interaktywna ekspozycja prezentująca ekosystemy Ameryki.;Zwiedzanie;Montreal
486;Underground City;0;Rozległy system podziemnych korytarzy handlowych.;Zakupy;Montreal
487;La Ronde;100;Park rozrywki z licznymi atrakcjami dla rodzin.;Rozrywka;Montreal
488;Plateau Mont-Royal;0;Modna dzielnica znana z artystycznej atmosfery.;Kultura;Montreal
489;Olympic Stadium;0;Historyczny stadion z oryginalną architekturą.;Zwiedzanie;Montreal
490;Montreal Science Centre;50;Interaktywne muzeum nauki dla młodzieży i dorosłych.;Zwiedzanie;Montreal
491;McCord Museum;40;Muzeum prezentujące historię i kulturę Montrealu.;Zwiedzanie;Montreal
492;Atwater Market;0;Targ z lokalnymi produktami spożywczymi.;Kulinaria;Montreal
493;Clock Tower Beach;0;Popularne miejsce na plażowanie w mieście.;Plażowanie;Montreal
494;Lachine Canal;0;Malowniczy kanał idealny na spacery i rejsy kajakowe.;Rekreacja;Montreal
495;Bonsecours Market;0;Historyczny targ z pamiątkami i wyrobami rzemieślniczymi.;Zakupy;Montreal
496;Parc Jean-Drapeau;0;Park miejski z licznymi atrakcjami rekreacyjnymi.;Rekreacja;Montreal
497;Rue Saint-Denis;0;Ulica znana z barów, kawiarni i butików.;Kultura;Montreal
498;Zócalo;0;Centralny plac Mexico City, serce historycznego centrum.;Zwiedzanie;Mexico City
499;National Palace;40;Imponujący budynek z freskami i historycznymi zbiorami.;Zwiedzanie;Mexico City
500;Frida Kahlo Museum;60;Muzeum poświęcone życiu i twórczości Fridy Kahlo.;Zwiedzanie;Mexico City
501;Teotihuacan Pyramids;100;Historyczne piramidy i kompleks archeologiczny.;Zwiedzanie;Mexico City
502;Xochimilco;50;Tradycyjne rejsy łodzią po kolorowych kanałach.;Rozrywka;Mexico City
503;National Anthropology Museum;70;Jedno z najważniejszych muzeów archeologicznych.;Zwiedzanie;Mexico City
504;Metropolitan Cathedral;0;Imponująca katedra w centrum miasta.;Zwiedzanie;Mexico City
505;Chapultepec Park;0;Ogromny park miejski z licznymi atrakcjami.;Rekreacja;Mexico City
506;Chapultepec Castle;50;Historyczna forteca w obrębie parku Chapultepec.;Zwiedzanie;Mexico City
507;Coyoacan;0;Urokliwa dzielnica z klimatycznymi uliczkami.;Kultura;Mexico City
508;Templo Mayor;40;Ruiny starożytnej świątyni azteckiej.;Zwiedzanie;Mexico City
509;Modern Art Museum;0;Nowoczesne muzeum sztuki z imponującą kolekcją.;Zwiedzanie;Mexico City
510;La Merced Market;0;Targ oferujący lokalne produkty i tradycyjne wyroby.;Zakupy;Mexico City
511;Torre Latinoamericana;45;Wieżowiec z tarasem widokowym i ekspozycjami muzealnymi.;Zwiedzanie;Mexico City
512;Plaza Garibaldi;0;Plac słynący z występów mariachi.;Rozrywka;Mexico City
513;Alameda Central;0;Historyczny park miejski w centrum stolicy.;Rekreacja;Mexico City
514;Polanco District;0;Ekskluzywna dzielnica z luksusowymi butikami.;Zakupy;Mexico City
515;Ciudadela Artisan Market;0;Targ rękodzieła i pamiątek.;Zakupy;Mexico City
516;Modern Art Museum (Alternative);50;Muzeum sztuki współczesnej z lokalnymi dziełami.;Zwiedzanie;Mexico City
517;Jumex Museum;55;Nowoczesne muzeum sztuki międzynarodowej.;Zwiedzanie;Mexico City
518;Grand Palace;150;Imponujący kompleks pałacowy, siedziba królów Tajlandii.;Zwiedzanie;Bangkok
519;Wat Phra Kaew;150;Świątynia Szmaragdowego Buddy, jeden z najważniejszych zabytków.;Zwiedzanie;Bangkok
520;Wat Arun;100;Piękna świątynia nad rzeką Chao Phraya.;Zwiedzanie;Bangkok
521;Chatuchak Weekend Market;0;Ogromny targ z setkami stoisk z rękodziełem.;Zakupy;Bangkok
522;Khao San Road;0;Słynna ulica backpackerów z barami i restauracjami.;Rozrywka;Bangkok
523;Lumpini Park;0;Duży park miejski idealny na relaks i aktywność fizyczną.;Rekreacja;Bangkok
524;Jim Thompson House;80;Dom-muzeum poświęcone tajskiemu jedwabiu.;Zwiedzanie;Bangkok
525;MBK Center;0;Centrum handlowe z lokalnymi i międzynarodowymi markami.;Zakupy;Bangkok
526;Asiatique The Riverfront;0;Nowoczesne centrum rozrywki nad rzeką.;Rozrywka;Bangkok
527;Siam Paragon;0;Luksusowe centrum handlowe z butikami i kinem.;Zakupy;Bangkok
528;Erawan Shrine;0;Świątynia znana z tradycyjnych rytuałów.;Zwiedzanie;Bangkok
529;Terminal 21;0;Centrum handlowe z motywem podróżniczym.;Zakupy;Bangkok
530;Dusit Zoo;70;Zoo z różnorodnymi gatunkami zwierząt.;Zwiedzanie;Bangkok
531;Bangkok Art and Culture Centre;50;Centrum wystaw sztuki współczesnej.;Kultura;Bangkok
532;Victory Monument;0;Monument upamiętniający zwycięstwa wojskowe.;Zwiedzanie;Bangkok
533;Chinatown (Yaowarat);0;Głośna dzielnica z tradycyjnymi sklepami.;Zakupy;Bangkok
534;Pratunam Market;0;Targ znany z odzieży w atrakcyjnych cenach.;Zakupy;Bangkok
535;Benjakitti Park;0;Nowoczesny park miejski z trasami spacerowymi.;Rekreacja;Bangkok
536;Rattanakosin Exhibition Hall;0;Centrum wystaw prezentujące historię Tajlandii.;Zwiedzanie;Bangkok
537;Wat Pho;90;Świątynia z ogromnym leżącym Buddą.;Zwiedzanie;Bangkok
538;Plaza de Mayo;0;Centralny plac Buenos Aires, symbol miasta.;Zwiedzanie;Buenos Aires
539;Casa Rosada;0;Siedziba prezydenta Argentyny.;Zwiedzanie;Buenos Aires
540;Teatro Colón;80;Słynny teatr operowy o doskonałej akustyce.;Rozrywka;Buenos Aires
541;Recoleta Cemetery;0;Słynne cmentarzysko z imponującymi grobowcami.;Zwiedzanie;Buenos Aires
542;Caminito in La Boca;30;Kolorowa uliczka z tradycyjną argentyńską kulturą.;Zwiedzanie;Buenos Aires
543;Palermo Soho;0;Modna dzielnica z butikami i kawiarenkami.;Kultura;Buenos Aires
544;San Telmo Market;0;Targ z antykami i lokalnymi przysmakami.;Zakupy;Buenos Aires
545;MALBA;50;Muzeum sztuki latynoamerykańskiej.;Zwiedzanie;Buenos Aires
546;Puerto Madero;0;Nowoczesna dzielnica portowa z restauracjami.;Zwiedzanie;Buenos Aires
547;Jardín Japonés;40;Spokojny ogród w stylu japońskim, idealny na relaks.;Rekreacja;Buenos Aires
548;Obelisk;0;Symbol miasta położony przy Plaza de Mayo.;Zwiedzanie;Buenos Aires
549;El Ateneo Grand Splendid;0;Historyczny dom książki uznawany za jeden z najpiękniejszych.;Kultura;Buenos Aires
550;Modern Art Museum of Buenos Aires;40;Muzeum prezentujące nowoczesną sztukę argentyńską.;Zwiedzanie;Buenos Aires
551;Costanera Sur;0;Nadbrzeżna promenada idealna do spacerów.;Rekreacja;Buenos Aires
552;Floralis Genérica;0;Gigantyczna rzeźba kwiatowa zmieniająca kolory.;Zwiedzanie;Buenos Aires
553;Parque Tres de Febrero;0;Rozległy park miejski popularny wśród rodzin.;Rekreacja;Buenos Aires
554;Café Tortoni;20;Klasyczna kawiarnia z tradycją sięgającą początku XX wieku.;Kulinaria;Buenos Aires
555;Museo Evita;35;Muzeum poświęcone życiu i działalności Evity Perón.;Zwiedzanie;Buenos Aires
556;Barrio Chino;0;Dzielnica chińska z tradycyjnymi restauracjami.;Kultura;Buenos Aires
557;Avenida Corrientes;0;Ulica znana z teatrów i restauracji, centrum nocnego życia.;Rozrywka;Buenos Aires
